,名称,カテゴリー,住所,路線,最寄り駅,時間,購入価格,面積,間取り,築年数
140,鶴見区諏訪坂　新築戸建　全2棟,新築一戸建て,神奈川県横浜市鶴見区諏訪坂,ＪＲ京浜東北線,鶴見,－徒歩18分,6550万円・6750万円,114.15m2・148.78m2（34.53坪・45.00坪）（実測）,3LDK・4LDK,-
141,横浜市鶴見区諏訪坂　新築戸建　全2棟,新築一戸建て,神奈川県横浜市鶴見区諏訪坂,ＪＲ京浜東北線,鶴見,－徒歩19分～19分,6550万円・6750万円,114.15m2・148.78m2（34.53坪・45.00坪）（実測）,3LDK・4LDK,-
142,入江１（子安駅） 3380万円,新築一戸建て,神奈川県横浜市神奈川区入江１,京急本線,子安,－徒歩8分,3380万円,48m2（14.51坪）,3LDK,-
143,入江１（新子安駅） 3380万円,新築一戸建て,神奈川県横浜市神奈川区入江１,ＪＲ京浜東北線,新子安,－徒歩9分,3380万円,48m2（14.51坪）（登記）,3LDK,-
144,神之木台（大口駅） 3580万円・3680万円,新築一戸建て,神奈川県横浜市神奈川区神之木台,ＪＲ横浜線,大口,－徒歩7分,3580万円・3680万円,40.24m2・40.34m2（12.17坪・12.20坪）,2LDK+S（納戸）,-
145,神之木台 新築全2棟現場,新築一戸建て,神奈川県横浜市神奈川区神之木台,ＪＲ横浜線,大口,－徒歩7分,3580万円～3680万円,40.24m2～40.34m2,3LDK,-
146,反町エリアお任せ下さい！東横線「反町」駅より徒歩12分～2階建×カースペース完備！,新築一戸建て,神奈川県横浜市神奈川区斎藤分町,東急東横線,反町,－徒歩12分,4780万円,100.88m2（登記）,3LDK+S（納戸）,-
147,斎藤分町（東白楽駅） 4980万円,新築一戸建て,神奈川県横浜市神奈川区斎藤分町,東急東横線,東白楽,－徒歩10分,4980万円,100.88m2（30.51坪）,3LDK+S（納戸）,-
148,即日見学大歓迎☆「今から見たい」にお応えします！子育て環境に優しい落着いた環境です♪,新築一戸建て,神奈川県横浜市神奈川区片倉２,ブルーライン,片倉町,－徒歩13分,4980万円～5350万円,125.41m2～137.99m2（37.93坪～41.74坪）（登記）,3LDK～5LDK,-
149,浦島丘（東神奈川駅） 5280万円,新築一戸建て,神奈川県横浜市神奈川区浦島丘,ＪＲ京浜東北線,東神奈川,－徒歩14分,5280万円,59.56m2（実測）,2LDK+S（納戸）,-
150,◇◆神奈川区神大寺1丁目　新築戸建　全15棟◆◇,新築一戸建て,神奈川県横浜市神奈川区神大寺１,ブルーライン,片倉町,－徒歩15分,5380万円～6380万円,65m2～100.23m2（19.66坪～30.31坪）,2LDK+2S（納戸）～4LDK,-
151,六角橋４（三ツ沢下町駅） 5490万円・5790万円,新築一戸建て,神奈川県横浜市神奈川区六角橋４,ブルーライン,三ツ沢下町,－徒歩16分,5490万円・5790万円,110.6m2・124.89m2（33.45坪・37.77坪）,4LDK,-
152,西寺尾２（大口駅） 5499万円,新築一戸建て,神奈川県横浜市神奈川区西寺尾２,ＪＲ横浜線,大口,－徒歩10分,5499万円,58.66m2（17.74坪）,2LDK+S（納戸）,-
153,三ツ沢南町（三ツ沢上町駅） 5540万円,新築一戸建て,神奈川県横浜市神奈川区三ツ沢南町,ブルーライン,三ツ沢上町,－徒歩11分,5540万円,107.68m2（32.57坪）（実測）,4LDK,-
154,栗田谷（三ツ沢下町駅） 5680万円～5980万円,新築一戸建て,神奈川県横浜市神奈川区栗田谷,ブルーライン,三ツ沢下町,－徒歩8分,5680万円～5980万円,69.58m2～92.21m2（21.04坪～27.89坪）（実測）,2LDK+2S（納戸）,-
155,三枚町（岸根公園駅） 5780万円,新築一戸建て,神奈川県横浜市神奈川区三枚町,ブルーライン,岸根公園,－徒歩12分,5780万円,101.36m2,4LDK,-
156,六角橋３（白楽駅） 5780万円,新築一戸建て,神奈川県横浜市神奈川区六角橋３,東急東横線,白楽,－徒歩13分～14分,5780万円,66.02m2,2LDK+2S（納戸）,-
157,白幡向町（白楽駅） 5880万円,新築一戸建て,神奈川県横浜市神奈川区白幡向町,東急東横線,白楽,－徒歩12分,5880万円,79.85m2（登記）,4LDK,-
158,新築分譲住宅「神奈川区白幡西町」A号棟,新築一戸建て,神奈川県横浜市神奈川区白幡西町,ＪＲ京浜東北線,東神奈川,－徒歩16分,6080万円,102.15m2（実測）,4LDK,-
159,沢渡（横浜駅） 6080万円・6180万円,新築一戸建て,神奈川県横浜市神奈川区沢渡,ＪＲ京浜東北線,横浜,－徒歩20分,6080万円・6180万円,68.76m2・69.03m2（20.79坪・20.88坪）,4LDK,-
160,白幡西町（東白楽駅） 6080万円～6780万円,新築一戸建て,神奈川県横浜市神奈川区白幡西町,東急東横線,東白楽,－徒歩7分,6080万円～6780万円,100.05m2・102.15m2（30.26坪・30.90坪）（実測）,4LDK,-
161,創作住宅　白幡西町　全3棟,新築一戸建て,神奈川県横浜市神奈川区白幡西町,東急東横線,東白楽,－徒歩6分,6080万円～6780万円,100.05m2・102.15m2,4LDK,-
162,三枚町（片倉町駅） 6180万円～6380万円,新築一戸建て,神奈川県横浜市神奈川区三枚町,ブルーライン,片倉町,－徒歩9分,6180万円～6380万円,125.53m2～127.43m2,4LDK,-
163,三枚町（片倉町駅） 6180万円～6380万円,新築一戸建て,神奈川県横浜市神奈川区三枚町,ブルーライン,片倉町,－徒歩9分,6180万円～6380万円,125.53m2～127.43m2,4LDK,-
164,三ツ沢下町（三ツ沢下町駅） 6280万円,新築一戸建て,神奈川県横浜市神奈川区三ツ沢下町,ブルーライン,三ツ沢下町,－徒歩7分～8分,6280万円,143.38m2（43.37坪）,4LDK+S（納戸）,-
165,三ツ沢下町（三ツ沢下町駅） 6280万円,新築一戸建て,神奈川県横浜市神奈川区三ツ沢下町28-25,ブルーライン,三ツ沢下町,－徒歩7分,6280万円,143.38m2（実測）,4LDK+S（納戸）,-
166,白幡西町（白楽駅） 6588万3000円,新築一戸建て,神奈川県横浜市神奈川区白幡西町,東急東横線,白楽,－徒歩13分,6588万3000円,199.2m2（60.25坪）,4LDK,-
167,白幡西町（東白楽駅） 6780万円,新築一戸建て,神奈川県横浜市神奈川区白幡西町,東急東横線,東白楽,－徒歩7分,6780万円,100.05m2・102.15m2（実測）,4LDK,-
168,沢渡（三ツ沢下町駅） 6980万円～7380万円,新築一戸建て,神奈川県横浜市神奈川区沢渡54-2,ブルーライン,三ツ沢下町,－徒歩13分,6980万円～7380万円,68.4m2～96.39m2（登記）,3LDK,-
169,沢渡（三ツ沢下町駅） 6980万円～7380万円,新築一戸建て,神奈川県横浜市神奈川区沢渡,ブルーライン,三ツ沢下町,－徒歩13分,6980万円～7380万円,68.4m2～96.39m2,3LDK,-
170,松見町２（妙蓮寺駅） 6980万円,新築一戸建て,神奈川県横浜市神奈川区松見町２,東急東横線,妙蓮寺,－徒歩9分,6980万円,112.94m2（実測）,4LDK,-
171,神奈川区旭ケ丘全5棟～外構完成♪横浜ベイエリアの景色を眺めながら生活できる立地♪,新築一戸建て,神奈川県横浜市神奈川区旭ケ丘,東急東横線,反町,－徒歩9分,7490万円～7890万円,100.01m2～146.41m2（登記）,3LDK～4LDK,-
172,三ツ沢下町（三ツ沢下町駅） 7980万円,新築一戸建て,神奈川県横浜市神奈川区三ツ沢下町,ブルーライン,三ツ沢下町,－徒歩4分,7980万円,101.98m2・102.4m2（30.84坪・30.97坪）,4LDK,-
173,西戸部町2丁目　新築全3棟現場,新築一戸建て,神奈川県横浜市西区西戸部町２,相鉄本線,西横浜,－徒歩13分,4480万円・4680万円,63.91m2・64.22m2,4LDK,-
174,境之谷（桜木町駅） 4480万円・4680万円,新築一戸建て,神奈川県横浜市西区境之谷,ＪＲ京浜東北線,桜木町,－徒歩25分～28分,4480万円・4680万円,54.5m2～55.38m2（16.48坪～16.75坪）,3LDK,-
175,東久保町（保土ケ谷駅） 4480万円～4880万円,新築一戸建て,神奈川県横浜市西区東久保町,ＪＲ横須賀線,保土ケ谷,－徒歩9分,4480万円～4880万円,72.38m2～78.39m2（21.89坪～23.71坪）,4LDK,-
176,境之谷　新築全3棟現場,新築一戸建て,神奈川県横浜市西区境之谷,京急本線,南太田,－徒歩13分,4580万円,58.15m2（17.59坪）（実測）,4LDK,-
177,西戸部町２（戸部駅） 4780万円,新築一戸建て,神奈川県横浜市西区西戸部町２,京急本線,戸部,－徒歩8分,4780万円,61.81m2（18.69坪）,4LDK,-
178,霞ケ丘（黄金町駅） 5930万円,新築一戸建て,神奈川県横浜市西区霞ケ丘,京急本線,黄金町,－徒歩10分,5930万円,97.91m2（登記）,4LDK,-
179,藤棚町１（西横浜駅） 5990万円,新築一戸建て,神奈川県横浜市西区藤棚町１,相鉄本線,西横浜,－徒歩6分,5990万円,52.45m2（15.86坪）,2LDK+2S（納戸）,-
180,藤棚町１（西横浜駅） 5990万円,新築一戸建て,神奈川県横浜市西区藤棚町１,相鉄本線,西横浜,－徒歩6分,5990万円,52.45m2,3LDK+S（納戸）,-
181,霞ケ丘（黄金町駅） 6080万円,新築一戸建て,神奈川県横浜市西区霞ケ丘,京急本線,黄金町,－徒歩15分,6080万円,97.91m2（実測）,4LDK,-
182,大平町（石川町駅） 3980万円,新築一戸建て,神奈川県横浜市中区大平町,ＪＲ根岸線,石川町,－徒歩27分,3980万円,108.13m2（登記）,4LDK,-
183,大平町 4180万円,新築一戸建て,神奈川県横浜市中区大平町,みなとみらい線,元町・中華街,バス14分停歩4分,4180万円,84.22m2（実測）,3LDK,-
184,本牧元町 4480万円,新築一戸建て,神奈川県横浜市中区本牧元町,ＪＲ根岸線,根岸,バス11分停歩7分,4480万円,61.35m2,3LDK,-
185,本牧元町 4480万円,新築一戸建て,神奈川県横浜市中区本牧元町,ＪＲ根岸線,山手,バス12分停歩1分,4480万円,61.35m2（登記）,3LDK,-
186,竹之丸 新築2階建て,新築一戸建て,神奈川県横浜市中区竹之丸,ＪＲ根岸線,山手,－徒歩7分,4780万円,104.68m2,4LDK,-
187,北方町1丁目　新築戸建,新築一戸建て,神奈川県横浜市中区北方町１,みなとみらい線,元町・中華街,－徒歩18分,4980万円,54.84m2（16.58坪）（実測）,3LDK,-
188,池袋（山手駅） 4980万円,新築一戸建て,神奈川県横浜市中区池袋,ＪＲ根岸線,山手,－徒歩14分,4980万円,45.57m2（13.78坪）,3LDK,-
189,千代崎町２（山手駅） 5680万円,新築一戸建て,神奈川県横浜市中区千代崎町２,ＪＲ根岸線,山手,－徒歩16分,5680万円,130.76m2（39.55坪）、路地状部分：18㎡含,4LDK,-
190,本牧間門 5680万円,新築一戸建て,神奈川県横浜市中区本牧間門,ＪＲ根岸線,根岸,バス6分停歩2分,5680万円,82.87m2（25.06坪）（登記）,3LDK+S（納戸）,-
191,【CATAREL HOUSE本牧】,新築一戸建て,神奈川県横浜市中区本牧間門,ＪＲ根岸線,山手,－徒歩20分,5880万円,109.92m2（実測）,3LDK+S（納戸）,-
192,本牧間門 5880万円,新築一戸建て,神奈川県横浜市中区本牧間門,ＪＲ根岸線,根岸,バス6分停歩2分,5880万円,121.2m2（36.66坪）（登記）,2LDK+S（納戸）,-
193,横浜市中区本牧緑ケ丘　新規分譲住宅　全12棟,新築一戸建て,神奈川県横浜市中区本牧緑ケ丘,ＪＲ京浜東北線,山手,－徒歩11分,5980万円,103.04m2・110.83m2,2LDK+2S（納戸）・4LDK,-
194,山元町１（石川町駅） 5980万円・6280万円,新築一戸建て,神奈川県横浜市中区山元町１,ＪＲ京浜東北線,石川町,－徒歩13分～13分,5980万円・6280万円,83.25m2・93.27m2（25.18坪・28.21坪）,2LDK+S（納戸）・2LDK+2S（納戸）,-
195,横浜山手が誇る洗練された街並み「山手本通り」隣接～歴史的建造物の数々に魅了される日々,新築一戸建て,神奈川県横浜市中区山元町１,ＪＲ京浜東北線,石川町,－徒歩12分,5980万円・6280万円,81.89m2・94.62m2（24.77坪・28.62坪）,3LDK・4LDK,-
196,山元町１（石川町駅） 5980万円～6280万円,新築一戸建て,神奈川県横浜市中区山元町１,ＪＲ根岸線,石川町,－徒歩13分,5980万円～6280万円,83.25m2～93.27m2（登記）,2LDK+S（納戸）・2LDK+2S（納戸）,-
197,豆口台（山手駅） 6980万円,新築一戸建て,神奈川県横浜市中区豆口台,ＪＲ根岸線,山手,－徒歩13分,6980万円,101.69m2（30.76坪）（実測）,4LDK,-
198,六ツ川４ 3180万円,新築一戸建て,神奈川県横浜市南区六ツ川４,ＪＲ横須賀線,東戸塚,バス14分停歩2分～3分,3180万円,79.95m2～82.16m2,3LDK,-
199,六ツ川４ 3180万円,新築一戸建て,神奈川県横浜市南区六ツ川４,ＪＲ横須賀線,東戸塚,バス14分停歩1分,3180万円,79.95m2～82.16m2（24.18坪～24.85坪）,3LDK,-
200,◇◆南区永田北3丁目　新築戸建◆◇,新築一戸建て,神奈川県横浜市南区永田北３,京急本線,井土ヶ谷,－徒歩22分,3280万円,73.95m2（22.36坪）,3LDK,-
201,永田北３（井土ヶ谷駅） 3280万円,新築一戸建て,神奈川県横浜市南区永田北３,京急本線,井土ヶ谷,－徒歩23分,3280万円,73.95m2（実測）,3LDK,-
202,堀ノ内町１（蒔田駅） 3580万円,新築一戸建て,神奈川県横浜市南区堀ノ内町１,ブルーライン,蒔田,－徒歩14分,3580万円,46.99m2（登記）,2LDK+S（納戸）,-
203,中村町３（阪東橋駅） 3880万円,新築一戸建て,神奈川県横浜市南区中村町３,ブルーライン,阪東橋,－徒歩13分,3880万円,57.42m2,3LDK,-
204,若宮町３（弘明寺駅） 3980万円,新築一戸建て,神奈川県横浜市南区若宮町３,ブルーライン,弘明寺,－徒歩6分,3980万円,60.14m2（登記）,2LDK+S（納戸）,-
205,遂に完成♪即日見学大歓迎♪急行停車駅井土ヶ谷駅に徒歩10分☆彡開放的な立地☆彡住環境良好☆彡周辺にスーパー多数☆彡3000万円台の新築,新築一戸建て,神奈川県横浜市南区永田東１,京急本線,井土ヶ谷,－徒歩10分,3980万円,216m2,3LDK,-
206,永田北３（井土ヶ谷駅） 3980万円～4180万円,新築一戸建て,神奈川県横浜市南区永田北３,京急本線,井土ヶ谷,－徒歩21分,3980万円～4180万円,64.34m2～70.5m2（19.46坪～21.32坪）（実測）,3LDK～4LDK,-
207,別所７ 4189万円,新築一戸建て,神奈川県横浜市南区別所７,京急本線,上大岡,バス13分停歩6分,4189万円,101m2（30.55坪）（実測）,3LDK,-
208,オープンプレイス六ツ川コンフォート,新築一戸建て,神奈川県横浜市南区六ツ川２,京急本線,弘明寺,－徒歩19分,4280万円・4380万円,104.72m2・104.79m2,2LDK+2S（納戸）,-
209,永田台 4480万円,新築一戸建て,神奈川県横浜市南区永田台,京急本線,弘明寺,バス7分停歩1分,4480万円,145.79m2（実測）、傾斜部分：38.73㎡含,4LDK,-
210,永田台（井土ヶ谷駅） 4480万円,新築一戸建て,神奈川県横浜市南区永田台,京急本線,井土ヶ谷,－徒歩29分,4480万円,145.79m2（登記）,4LDK,-
211,八幡町（阪東橋駅） 4580万円～5180万円,新築一戸建て,神奈川県横浜市南区八幡町,ブルーライン,阪東橋,－徒歩16分,4580万円～5180万円,82.06m2～99.92m2,2LDK+2S（納戸）～4LDK,-
212,八幡町（阪東橋駅） 4580万円～5180万円,新築一戸建て,神奈川県横浜市南区八幡町,ブルーライン,阪東橋,－徒歩16分,4580万円～5180万円,82.06m2～99.92m2（24.82坪～30.22坪）,2LDK+2S（納戸）,-
213,八幡町（阪東橋駅） 4580万円～5180万円,新築一戸建て,神奈川県横浜市南区八幡町,ブルーライン,阪東橋,－徒歩16分,4580万円～5180万円,82.06m2～99.92m2,4LDK,-
214,六ツ川２（弘明寺駅） 4588万円～4788万円,新築一戸建て,神奈川県横浜市南区六ツ川２,京急本線,弘明寺,－徒歩20分,4588万円～4788万円,93.29m2～100.03m2（28.22坪～30.25坪）,4LDK,-
